feature,importance
cat__h3_pair_89415cb4a47ffff->89415cb4bc3ffff,0.00032984006
cat__h3_pair_89415cb4b0fffff->89415cb4bc3ffff,0.00032579922
cat__h3_pair_89415cb684bffff->89415cb46afffff,0.00032552233
cat__h3_pair_89415cb684bffff->89414368657ffff,0.00032433774
cat__h3_pair_89415ca7123ffff->89415cb4987ffff,0.00032421542
cat__h3_pair_894143682c3ffff->89415cb4b0fffff,0.00031538
cat__h3_pair_89415cb4987ffff->89415cb4b97ffff,0.00031423764
cat__h3_pair_89415cb4e3bffff->89415cb4bc3ffff,0.0003119751
cat__h3_pair_89414368657ffff->89415cb4cd7ffff,0.00031191277
cat__h3_pair_89415ca7123ffff->894143682c3ffff,0.00030963798
cat__h3_pair_89415cb4987ffff->89415cb4a47ffff,0.0002999672
cat__h3_pair_89414369647ffff->89415cb684bffff,0.00029677534
cat__h3_pair_89414369647ffff->89415cb687bffff,0.0002959885
cat__h3_pair_89415cb687bffff->89415cb4d47ffff,0.00029434552
cat__h3_pair_89415cb4e3bffff->89415cb4d47ffff,0.00029381103
cat__h3_pair_89415cb4bc3ffff->89415cb4d47ffff,0.00028400472
cat__h3_pair_89415cb4b0fffff->89415cb4e3bffff,0.0002822029
cat__h3_pair_89415cb46afffff->89415cb4cd7ffff,0.00028086407
cat__h3_pair_89415cb4ba3ffff->89414368657ffff,0.0002735422
cat__h3_pair_89415cb4ba3ffff->89415cb4b0fffff,0.0002719691
cat__h3_pair_8941436945bffff->89414368657ffff,0.00027140006
cat__h3_pair_89415cb4bc3ffff->89415cb4e43ffff,0.00026921605
cat__h3_pair_89415cb5db3ffff->89415cb4987ffff,0.00026482774
cat__h3_pair_89415ca640bffff->89415cb46afffff,0.000264263
cat__h3_pair_89415cb4b0fffff->89415ca7123ffff,0.000263324
cat__h3_pair_89415cb687bffff->89415cb4bc3ffff,0.00026057838
cat__h3_pair_89415cb5dc7ffff->89415cb4193ffff,0.00025740796
cat__h3_pair_89415cb4a47ffff->89415cb4987ffff,0.00025263167
cat__h3_pair_894143682c3ffff->89415cb4d5bffff,0.00025190462
cat__h3_pair_89415cb4b97ffff->89415cb4e43ffff,0.00013481684
cat__h3_pair_89415cb4d5bffff->89415cb4bc3ffff,8.7471715e-05
cat__origin_h3_89414368657ffff,0.0
cat__origin_h3_894143682c3ffff,0.0
cat__h3_pair_89415cb687bffff->89415cb4a47ffff,0.0
cat__h3_pair_89415cb687bffff->89415cb49afffff,0.0
cat__h3_pair_89415cb687bffff->89415cb4987ffff,0.0
cat__h3_pair_89415cb687bffff->89415cb46afffff,0.0
cat__h3_pair_89415cb687bffff->89415ca7123ffff,0.0
cat__h3_pair_89415cb687bffff->89415ca640bffff,0.0
cat__h3_pair_89415cb687bffff->8941436945bffff,0.0
cat__h3_pair_89415cb687bffff->89414368657ffff,0.0
cat__h3_pair_89415cb684bffff->89415cb687bffff,0.0
cat__h3_pair_89415cb684bffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415cb684bffff->89415cb5db3ffff,0.0
cat__destination_h3_89415ca7123ffff,0.0
cat__destination_h3_8941436945bffff,0.0
cat__destination_h3_89414368657ffff,0.0
cat__h3_pair_89415cb4987ffff->894143682c3ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb5db3ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4e43ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4e3bffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4d47ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4bc3ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4ba3ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4a47ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4987ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb46afffff,0.0
cat__h3_pair_89415cb49afffff->89415ca7123ffff,0.0
cat__h3_pair_89415cb49afffff->89414369617ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb684bffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415cb4987ffff->89415cb5db3ffff,0.0
cat__h3_pair_89415cb46afffff->89414369617ffff,0.0
cat__h3_pair_89415cb46afffff->8941436945bffff,0.0
cat__h3_pair_89415cb46afffff->89414368657ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb684bffff,0.0
cat__h3_pair_89415cb4a47ffff->89414369647ffff,0.0
cat__h3_pair_89415cb4a47ffff->8941436945bffff,0.0
cat__h3_pair_89415cb4a47ffff->894143682c3ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb687bffff,0.0
cat__h3_pair_89415cb49afffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb5db3ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4e43ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4cd7ffff,0.0
cat__h3_pair_89415cb49afffff->89415cb4bc3ffff,0.0
cat__h3_pair_89415cb4987ffff->89414369647ffff,0.0
cat__h3_pair_89415cb4987ffff->89414369617ffff,0.0
cat__h3_pair_89415cb4987ffff->89414368657ffff,0.0
cat__h3_pair_89415cb4193ffff->89415ca7123ffff,0.0
cat__h3_pair_89415cb4193ffff->89415ca640bffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb5db3ffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb4e3bffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb4d47ffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb49afffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb46afffff,0.0
cat__h3_pair_89415cb4a47ffff->89415cb4193ffff,0.0
cat__h3_pair_89415cb4a47ffff->89415ca7123ffff,0.0
cat__h3_pair_89415cb4a47ffff->89415ca640bffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4b97ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb49afffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4987ffff,0.0
cat__h3_pair_89415cb46afffff->89415cb4193ffff,0.0
cat__h3_pair_89415cb46afffff->89414369647ffff,0.0
cat__h3_pair_89415cb4b0fffff->89415cb4a47ffff,0.0
cat__h3_pair_89415cb4b0fffff->89415cb4987ffff,0.0
cat__h3_pair_89415cb4b0fffff->89415cb46afffff,0.0
cat__h3_pair_89415cb4b0fffff->89414369647ffff,0.0
cat__h3_pair_89415cb4b0fffff->89414369617ffff,0.0
cat__h3_pair_89415cb4b0fffff->8941436945bffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb5db3ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4e43ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4d5bffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4d47ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4bc3ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4b97ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4b0fffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb49afffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb4987ffff,0.0
cat__h3_pair_89415cb4193ffff->89415cb46afffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb5db3ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4e43ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4e3bffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4d5bffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4d47ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4cd7ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4bc3ffff,0.0
cat__h3_pair_89415ca7123ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89415cb4b97ffff->89414369647ffff,0.0
cat__h3_pair_89415cb4b97ffff->89414369617ffff,0.0
cat__h3_pair_89415cb4b0fffff->89415cb684bffff,0.0
cat__h3_pair_89415cb4b0fffff->89415cb5dc7ffff,0.0
cat__h3_pair_89415cb4b0fffff->89415cb5db3ffff,0.0
cat__h3_pair_89415cb4b0fffff->89415cb4e43ffff,0.0
cat__h3_pair_89415cb4b0fffff->89415cb4d47ffff,0.0
cat__h3_pair_89415ca7123ffff->89414368657ffff,0.0
cat__h3_pair_89415cb4b97ffff->89415cb5db3ffff,0.0
cat__h3_pair_89415cb4b97ffff->89415cb4d47ffff,0.0
cat__h3_pair_89415cb4b97ffff->89415cb4ba3ffff,0.0
cat__h3_pair_89415cb4b97ffff->89415cb4b0fffff,0.0
cat__h3_pair_89415cb4b97ffff->89415cb4a47ffff,0.0
cat__h3_pair_89415cb4b97ffff->89415cb49afffff,0.0
